run_a,run_b,method_a,method_b,ari,nmi
spectral_s0,kmeans_s5,Spectral,KMeans,0.5388333993348792,0.6791333855922562
spectral_s0,gmm_s5,Spectral,GaussianMixture,0.5258617878945742,0.6605100536478808
spectral_s0,spectral_s5,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s6,Spectral,KMeans,0.7578329039386579,0.8114763572629324
spectral_s0,gmm_s6,Spectral,GaussianMixture,0.7516083251375776,0.7963532908118353
spectral_s0,spectral_s6,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s7,Spectral,KMeans,0.6176376239089495,0.7167266777682174
spectral_s0,gmm_s7,Spectral,GaussianMixture,0.5845454425410623,0.6877836435592974
spectral_s0,spectral_s7,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s8,Spectral,KMeans,0.7227083280302681,0.7809914642103911
spectral_s0,gmm_s8,Spectral,GaussianMixture,0.6835626553045318,0.7512846464920434
spectral_s0,spectral_s8,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s9,Spectral,KMeans,0.5641128121471003,0.6982687550028793
spectral_s0,gmm_s9,Spectral,GaussianMixture,0.5454827927321779,0.6762099049411495
spectral_s0,spectral_s9,Spectral,Spectral,1.0,1.0000000000000002
spectral_s0,kmeans_s10,Spectral,KMeans,0.5936622074444006,0.6955483005951112
spectral_s0,gmm_s10,Spectral,GaussianMixture,0.5936622074444006,0.6955483005951112
spectral_s0,spectral_s10,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s11,Spectral,KMeans,0.6014798863154293,0.745524006795951
spectral_s0,gmm_s11,Spectral,GaussianMixture,0.582175339525302,0.724255676311856
spectral_s0,spectral_s11,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s12,Spectral,KMeans,0.7647609884862608,0.8196140469672745
spectral_s0,gmm_s12,Spectral,GaussianMixture,0.7481864264116511,0.8005157628710351
spectral_s0,spectral_s12,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s13,Spectral,KMeans,0.5252553625268441,0.6795937314561865
spectral_s0,gmm_s13,Spectral,GaussianMixture,0.5120197679869625,0.6614862147161323
spectral_s0,spectral_s13,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s14,Spectral,KMeans,0.7357683226730813,0.7890468507850287
spectral_s0,gmm_s14,Spectral,GaussianMixture,0.7007409035857458,0.7611704162355986
spectral_s0,spectral_s14,Spectral,Spectral,1.0,1.0
spectral_s0,kmeans_s15,Spectral,KMeans,0.7647609884862608,0.8196140469672744
spectral_s0,gmm_s15,Spectral,GaussianMixture,0.7481864264116511,0.8005157628710351
spectral_s0,kmeans_s16,Spectral,KMeans,0.5168349281963802,0.6686998938531861
spectral_s0,gmm_s16,Spectral,GaussianMixture,0.5174106779775012,0.6688219155824018
spectral_s0,kmeans_s17,Spectral,KMeans,0.751551841814456,0.8025497640656681
spectral_s0,gmm_s17,Spectral,GaussianMixture,0.7354928862567481,0.7836929209861851
spectral_s0,kmeans_s18,Spectral,KMeans,0.5013202150881302,0.6420502254990403
spectral_s0,gmm_s18,Spectral,GaussianMixture,0.5013202150881302,0.6420502254990403
spectral_s0,kmeans_s19,Spectral,KMeans,0.7529242314783376,0.8253851216997363
spectral_s0,gmm_s19,Spectral,GaussianMixture,0.7365173835644486,0.8061099470298358
spectral_s0,kmeans_s20,Spectral,KMeans,0.42449348064109804,0.5674636671699842
spectral_s0,gmm_s20,Spectral,GaussianMixture,0.40835235194553354,0.5464210020400608
spectral_s0,kmeans_s21,Spectral,KMeans,0.652001995618393,0.7153350298357352
spectral_s0,gmm_s21,Spectral,GaussianMixture,0.6103764973744101,0.683721049675973
spectral_s0,kmeans_s22,Spectral,KMeans,0.4970670472456217,0.6193662897101322
spectral_s0,gmm_s22,Spectral,GaussianMixture,0.4822508226141104,0.5975202399006629
spectral_s0,kmeans_s23,Spectral,KMeans,0.8271513426661925,0.8342962006987136
spectral_s0,gmm_s23,Spectral,GaussianMixture,0.8087612814594212,0.814083934165544
spectral_s0,kmeans_s24,Spectral,KMeans,0.544781788387716,0.7014930519706463
spectral_s0,gmm_s24,Spectral,GaussianMixture,0.5241205163018039,0.678877180596441
spectral_s0,kmeans_s25,Spectral,KMeans,0.5992576376588205,0.7226408897987693
spectral_s0,gmm_s25,Spectral,GaussianMixture,0.5992576376588205,0.7226408897987693
spectral_s0,kmeans_s26,Spectral,KMeans,0.6847331026720256,0.7518165478748711
spectral_s0,gmm_s26,Spectral,GaussianMixture,0.6847331026720256,0.7518165478748711
spectral_s0,kmeans_s27,Spectral,KMeans,0.7605320950901225,0.7770316597788894
spectral_s0,gmm_s27,Spectral,GaussianMixture,0.7425886035719557,0.7568756696411185
spectral_s0,kmeans_s28,Spectral,KMeans,0.6603125135836954,0.7663286874304298
spectral_s0,gmm_s28,Spectral,GaussianMixture,0.6428351883861894,0.746822848703516
spectral_s0,kmeans_s29,Spectral,KMeans,0.5302080402124605,0.6617092487449023
spectral_s0,gmm_s29,Spectral,GaussianMixture,0.5115349607117204,0.6394504516129581
spectral_s0,agglomerative_average,Spectral,Agglomerative,0.5123858865812013,0.6275170942549996
kmeans_s1,gmm_s1,KMeans,GaussianMixture,0.9810377374261866,0.98102931122485
kmeans_s1,spectral_s1,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s2,KMeans,KMeans,0.7513004747306048,0.8048148071229146
kmeans_s1,gmm_s2,KMeans,GaussianMixture,0.7513004747306048,0.8048148071229146
kmeans_s1,spectral_s2,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s3,KMeans,KMeans,0.6950796019973423,0.7552088624892426
kmeans_s1,gmm_s3,KMeans,GaussianMixture,0.6950796019973423,0.7552088624892426
kmeans_s1,spectral_s3,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s4,KMeans,KMeans,0.6950796019973423,0.7552088624892426
kmeans_s1,gmm_s4,KMeans,GaussianMixture,0.6950796019973423,0.7552088624892426
kmeans_s1,spectral_s4,KMeans,Spectral,0.7567191417714996,0.7961876448773882
kmeans_s1,kmeans_s5,KMeans,KMeans,0.5072842967364559,0.6594037715551802
kmeans_s1,gmm_s5,KMeans,GaussianMixture,0.49403835783576594,0.6410527095500081
kmeans_s1,spectral_s5,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s6,KMeans,KMeans,0.661125412273015,0.7214124089459238
kmeans_s1,gmm_s6,KMeans,GaussianMixture,0.6627407950960484,0.7275829135418874
kmeans_s1,spectral_s6,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s7,KMeans,KMeans,0.7426499969857555,0.8383083621441092
kmeans_s1,gmm_s7,KMeans,GaussianMixture,0.7084671406592304,0.8099294106979217
kmeans_s1,spectral_s7,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s8,KMeans,KMeans,0.6769340765989283,0.7293868303498344
kmeans_s1,gmm_s8,KMeans,GaussianMixture,0.6391738863271519,0.6971191882851542
kmeans_s1,spectral_s8,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s9,KMeans,KMeans,0.5658966198728547,0.7493305399214736
kmeans_s1,gmm_s9,KMeans,GaussianMixture,0.5470896164498592,0.7276832662042167
kmeans_s1,spectral_s9,KMeans,Spectral,0.7567191417714996,0.7961876448773882
kmeans_s1,kmeans_s10,KMeans,KMeans,0.5797709777672049,0.7035133710795223
kmeans_s1,gmm_s10,KMeans,GaussianMixture,0.5797709777672049,0.7035133710795223
kmeans_s1,spectral_s10,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s11,KMeans,KMeans,0.5621080874993071,0.7221022155256027
kmeans_s1,gmm_s11,KMeans,GaussianMixture,0.5427409074586965,0.7011025123014294
kmeans_s1,spectral_s11,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s12,KMeans,KMeans,0.6564505160546623,0.7349393736654444
kmeans_s1,gmm_s12,KMeans,GaussianMixture,0.6396564626916992,0.7160579996672087
kmeans_s1,spectral_s12,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s13,KMeans,KMeans,0.4951696532548545,0.6342555641618449
kmeans_s1,gmm_s13,KMeans,GaussianMixture,0.48161605314447836,0.6164193973216292
kmeans_s1,spectral_s13,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s14,KMeans,KMeans,0.7572226492784846,0.7957086956730555
kmeans_s1,gmm_s14,KMeans,GaussianMixture,0.7237519137981664,0.76523217393235
kmeans_s1,spectral_s14,KMeans,Spectral,0.7567191417714996,0.7961876448773881
kmeans_s1,kmeans_s15,KMeans,KMeans,0.6564505160546623,0.7349393736654443
kmeans_s1,gmm_s15,KMeans,GaussianMixture,0.6396564626916992,0.716057999667209
kmeans_s1,kmeans_s16,KMeans,KMeans,0.5162434716989276,0.6840535473659807
kmeans_s1,gmm_s16,KMeans,GaussianMixture,0.5149697992549213,0.6834215883907365
kmeans_s1,kmeans_s17,KMeans,KMeans,0.6586643700259833,0.7246214848347049
kmeans_s1,gmm_s17,KMeans,GaussianMixture,0.6423298816389891,0.7059926408674294
kmeans_s1,kmeans_s18,KMeans,KMeans,0.5049852955686975,0.6591533681595104
kmeans_s1,gmm_s18,KMeans,GaussianMixture,0.5049852955686975,0.6591533681595104
kmeans_s1,kmeans_s19,KMeans,KMeans,0.7495243839544309,0.8397210098817472
kmeans_s1,gmm_s19,KMeans,GaussianMixture,0.7327755442789965,0.8207216411093166
kmeans_s1,kmeans_s20,KMeans,KMeans,0.4496247629665512,0.6151159462394902
kmeans_s1,gmm_s20,KMeans,GaussianMixture,0.4332133618296443,0.594427222964494
kmeans_s1,kmeans_s21,KMeans,KMeans,0.7040719090279134,0.7624937599633503
kmeans_s1,gmm_s21,KMeans,GaussianMixture,0.6453153167221665,0.7047131027124159
kmeans_s1,kmeans_s22,KMeans,KMeans,0.513398449649797,0.6806612164957088
kmeans_s1,gmm_s22,KMeans,GaussianMixture,0.49841915190926306,0.6592057224101701
kmeans_s1,kmeans_s23,KMeans,KMeans,0.7809054291951171,0.8326071467758632
kmeans_s1,gmm_s23,KMeans,GaussianMixture,0.7623035771318784,0.8126787480962678
kmeans_s1,kmeans_s24,KMeans,KMeans,0.5796838322059152,0.7350610914924751
kmeans_s1,gmm_s24,KMeans,GaussianMixture,0.5604658137079814,0.7130729922487694
kmeans_s1,kmeans_s25,KMeans,KMeans,0.6048616259276014,0.7384578666557244
kmeans_s1,gmm_s25,KMeans,GaussianMixture,0.6048616259276014,0.7384578666557244
kmeans_s1,kmeans_s26,KMeans,KMeans,0.6728961474763238,0.7530740299914582
kmeans_s1,gmm_s26,KMeans,GaussianMixture,0.6728961474763238,0.7530740299914582
kmeans_s1,kmeans_s27,KMeans,KMeans,0.8234915024333562,0.8590664281062691
kmeans_s1,gmm_s27,KMeans,GaussianMixture,0.8050539951707737,0.8392768948334407
kmeans_s1,kmeans_s28,KMeans,KMeans,0.6482306220521574,0.7522451105011343
kmeans_s1,gmm_s28,KMeans,GaussianMixture,0.6304219604536554,0.7329970189940648
kmeans_s1,kmeans_s29,KMeans,KMeans,0.5422697662643433,0.7179915981417017
kmeans_s1,gmm_s29,KMeans,GaussianMixture,0.523392500445087,0.6961605180520937
kmeans_s1,agglomerative_average,KMeans,Agglomerative,0.5142788926249298,0.6818910083331301
gmm_s1,spectral_s1,GaussianMixture,Spectral,0.7386953901939004,0.7767773235855494
gmm_s1,kmeans_s2,GaussianMixture,KMeans,0.7335214758067826,0.7852459611502152
gmm_s1,gmm_s2,GaussianMixture,GaussianMixture,0.7335214758067826,0.7852459611502152
gmm_s1,spectral_s2,GaussianMixture,Spectral,0.7386953901939004,0.7767773235855494
gmm_s1,kmeans_s3,GaussianMixture,KMeans,0.6811093004945826,0.7366826804446792
gmm_s1,gmm_s3,GaussianMixture,GaussianMixture,0.6811093004945826,0.7366826804446792
gmm_s1,spectral_s3,GaussianMixture,Spectral,0.7386953901939004,0.7767773235855494
gmm_s1,kmeans_s4,GaussianMixture,KMeans,0.6811093004945826,0.7366826804446792
gmm_s1,gmm_s4,GaussianMixture,GaussianMixture,0.6811093004945826,0.7366826804446792
