method,seed,n_clusters,agency_purity,modality_purity,cluster_size_min,cluster_size_max,silhouette,davies_bouldin,calinski_harabasz,run_id
KMeans,25,5,0.7735849056603774,0.9119496855345912,25,40,0.3352556824684143,2.1005582615461944,29.869997024536133,kmeans_s25
GaussianMixture,25,5,0.7735849056603774,0.9119496855345912,25,40,0.3352556824684143,2.1005582615461944,29.869997024536133,gmm_s25
KMeans,26,5,0.7672955974842768,0.8490566037735849,11,44,0.33594679832458496,1.9130337984342827,29.61263084411621,kmeans_s26
GaussianMixture,26,5,0.7672955974842768,0.8490566037735849,11,44,0.33594679832458496,1.9130337984342827,29.61263084411621,gmm_s26
KMeans,27,5,0.8113207547169812,0.9308176100628931,6,52,0.39513397216796875,1.6049762954517526,33.51924514770508,kmeans_s27
GaussianMixture,27,5,0.8050314465408805,0.9308176100628931,6,53,0.3934299349784851,1.618380257926135,33.37154006958008,gmm_s27
KMeans,28,5,0.7672955974842768,0.89937106918239,15,48,0.32278919219970703,2.0529636389797554,29.456905364990234,kmeans_s28
GaussianMixture,28,5,0.7672955974842768,0.89937106918239,15,49,0.3205321729183197,2.055222345661618,29.391979217529297,gmm_s28
KMeans,29,5,0.8490566037735849,0.7924528301886793,7,71,0.40659546852111816,1.575537643927957,29.94234848022461,kmeans_s29
GaussianMixture,29,5,0.8427672955974843,0.7924528301886793,7,72,0.40330496430397034,1.5795185637611304,29.738439559936523,gmm_s29
Agglomerative,,5,0.8238993710691824,0.7987421383647799,1,69,0.42596858739852905,1.2638137121976274,28.117647171020508,agglomerative_average
