review_group,title,agency,file_group,cluster,graph_community,anomaly_rank,usefulness_proxy_score,output_path
random_baseline,"DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024",Department of War,PDF,,0,,7,ufo_release/Department of War/PDF/DOW-UAP-D75__Mission_Report__Gulf_of_Aden__July_2024.pdf
random_baseline,"DOW-UAP-D8, Mission Report, Djibouti, 2025",Department of War,PDF,,0,,6,ufo_release/Department of War/PDF/DOW-UAP-D8__Mission_Report__Djibouti__2025.pdf
random_baseline,"DOW-UAP-D7, Mission Report, Arabian Gulf, 2020",Department of War,PDF,,0,,5,ufo_release/Department of War/PDF/DOW-UAP-D7__Mission_Report__Arabian_Gulf__2020.pdf
random_baseline,"DOW-UAP-PR20, Unresolved UAP Report, Kuwait, May 2022",Department of War,PDF,,0,,6,ufo_release/Department of War/PDF/DOW-UAP-PR20__Unresolved_UAP_Report__Kuwait__May_2022.pdf
random_baseline,"DOW-UAP-PR27, Unresolved UAP Report, United Arab Emirates, October 2023",Department of War,PDF,,0,,6,ufo_release/Department of War/PDF/DOW-UAP-PR27__Unresolved_UAP_Report__United_Arab_Emirates__October_2023.pdf
random_baseline,"DOW-UAP-PR39, Unresolved UAP Report, Middle East, 2020",Department of War,VID,,3,,6,ufo_release/Department of War/VID/DOW-UAP-PR39__Unresolved_UAP_Report__Middle_East__2020.mp4
random_baseline,FBI Photo A1,FBI,IMG,,5,,7,ufo_release/FBI/IMG/FBI_Photo_A1.png
random_baseline,FBI Photo A6,FBI,IMG,,5,,7,ufo_release/FBI/IMG/FBI_Photo_A6.png
random_baseline,FBI Photo A7,FBI,IMG,,5,,7,ufo_release/FBI/IMG/FBI_Photo_A7.png
random_baseline,"DOW-UAP-PR48, Unresolved UAP Report, INDOPACOM, 2024",Department of War,VID,,4,,6,ufo_release/Department of War/VID/DOW-UAP-PR48__Unresolved_UAP_Report__INDOPACOM__2024.mp4
random_baseline,65_HS1-834228961_62-HQ-83894_Section_1,FBI,PDF,,1,,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_1.pdf
random_baseline,65_HS1-834228961_62-HQ-83894_Section_5,FBI,PDF,,1,,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Section_5.pdf
random_baseline,65_HS1-834228961_62-HQ-83894_Serial_449,FBI,PDF,,1,,5,ufo_release/FBI/PDF/65_HS1-834228961_62-HQ-83894_Serial_449.pdf
random_baseline,FBI Photo B20,FBI,PDF,,2,,7,ufo_release/FBI/PDF/FBI_Photo_B20.pdf
random_baseline,FBI Photo B22,FBI,PDF,,2,,7,ufo_release/FBI/PDF/FBI_Photo_B22.pdf
random_baseline,FBI Photo B3,FBI,PDF,,2,,7,ufo_release/FBI/PDF/FBI_Photo_B3.pdf
random_baseline,FBI Photo B9,FBI,PDF,,2,,7,ufo_release/FBI/PDF/FBI_Photo_B9.pdf
random_baseline,"NASA-UAP-D1, Apollo 12 Transcript, 1969",NASA,PDF,,1,,7,ufo_release/NASA/PDF/NASA-UAP-D1__Apollo_12_Transcript__1969.pdf
random_baseline,"NASA-UAP-D2, Apollo 17 Transcript, 1972",NASA,PDF,,1,,7,ufo_release/NASA/PDF/NASA-UAP-D2__Apollo_17_Transcript__1972.pdf
