document_id,title,agency,file_group,graph_community,degree,weighted_degree,betweenness,pca_1,pca_2
doc_0029,"DOW-UAP-D4, Mission Report, Arabian Gulf, 2020",Department of War,PDF,0,10,9.320500075817108,0.0001612513101668951,-0.13071826100349426,-0.1929270476102829
doc_0030,"DOW-UAP-D50, Email Correspondence, INDOPACOM, April 2025",Department of War,PDF,0,8,7.190209448337555,0.0,-0.11791270971298218,-0.05283141881227493
doc_0032,"DOW-UAP-D52, Email Correspondance, NA, August 2024",Department of War,PDF,0,9,7.971243679523468,0.0016931387567523987,-0.0842079147696495,-0.044572070240974426
doc_0031,"DOW-UAP-D51, Email Correspondence, Pacific Time Zone, March 2023",Department of War,PDF,0,8,7.142871916294098,0.0,-0.12011075764894485,-0.07341814041137695
doc_0033,"DOW-UAP-D54, Mission Report, Mediterranean Sea, NA",Department of War,PDF,0,10,9.118639051914215,0.056841086833830524,-0.13350634276866913,-0.05332599952816963
doc_0034,"DOW-UAP-D55, Mission Report, Syria, November 2016",Department of War,PDF,0,8,7.20053493976593,0.0012093848262517133,-0.0611482635140419,-0.1163240596652031
doc_0035,"DOW-UAP-D56, Range Fouler Debrief, Arabian Sea, August 2020",Department of War,PDF,0,9,8.32318663597107,0.00040312827541723773,-0.10367223620414734,-0.13686338067054749
doc_0036,"DOW-UAP-D57, Range Fouler Reporting Form, Gulf of Aden, September 2020",Department of War,PDF,0,8,7.419418573379517,0.0,-0.12396150082349777,-0.11318079382181168
doc_0037,"DOW-UAP-D58, Range Fouler Debrief, NA, October 2020",Department of War,PDF,0,8,7.322459101676941,0.0,-0.09492042660713196,-0.05499615520238876
doc_0038,"DOW-UAP-D5, Mission Report, Arabian Gulf, 2020",Department of War,PDF,0,10,9.317108631134033,0.0010481335160848182,-0.14566726982593536,-0.18451251089572906
doc_0040,"DOW-UAP-D61, Mission Report, Persian Gulf, August 2020",Department of War,PDF,0,19,17.595028579235077,0.015641377086188825,-0.1611567586660385,-0.13919338583946228
doc_0041,"DOW-UAP-D62, Mission Report, Strait of Hormuz, September 2020",Department of War,PDF,0,9,8.569166421890259,0.0011287591711682658,-0.18839871883392334,-0.1524232029914856
doc_0039,"DOW-UAP-D60, Mission Report, Persian Gulf, August 2020",Department of War,PDF,0,9,8.58114641904831,0.0035475288236716924,-0.21655739843845367,-0.14845605194568634
doc_0043,"DOW-UAP-D64, Mission Report, Iran, November 2020",Department of War,PDF,0,16,14.661684811115265,0.013061356123518504,-0.1357313096523285,-0.13981856405735016
doc_0042,"DOW-UAP-D63, Mission Report, Strait of Hormuz, October 2020",Department of War,PDF,0,14,12.890594780445099,0.0007256308957510279,-0.140709787607193,-0.15296712517738342
doc_0045,"DOW-UAP-D6, Mission Report, Arabian Gulf, 2020",Department of War,PDF,0,10,9.32375019788742,0.0044344110295896156,-0.10116636008024216,-0.15473046898841858
doc_0044,"DOW-UAP-D65, Mission Report, Persian Gulf, July 2020",Department of War,PDF,0,24,21.99471342563629,0.06022736434733532,-0.18945401906967163,-0.13157419860363007
doc_0046,"DOW-UAP-D74, Mission Report, Syria, November 2023",Department of War,PDF,0,12,11.128478825092316,0.007095057647343385,-0.20648393034934998,-0.11136379092931747
doc_0047,"DOW-UAP-D75, Mission Report, Gulf of Aden, July 2024",Department of War,PDF,0,12,11.16778439283371,0.04869789567040232,-0.19604870676994324,-0.13867279887199402
doc_0049,"DOW-UAP-D8, Mission Report, Djibouti, 2025",Department of War,PDF,0,9,8.273699879646301,0.13924050632911392,-0.08604393899440765,-0.12396052479743958
doc_0048,"DOW-UAP-D7, Mission Report, Arabian Gulf, 2020",Department of War,PDF,0,10,9.31352025270462,8.062565508344755e-05,-0.13350673019886017,-0.2051045298576355
doc_0050,"DOW-UAP-PR19, Unresolved UAP Report, Middle East, May 2022",Department of War,PDF,0,9,8.48498672246933,0.0,-0.19773919880390167,-0.12522681057453156
doc_0051,"DOW-UAP-PR20, Unresolved UAP Report, Kuwait, May 2022",Department of War,PDF,0,8,7.220532059669495,0.00024187696525034265,-0.05239996314048767,-0.11826406419277191
doc_0052,"DOW-UAP-PR21, Unresolved UAP Report, Iraq, May 2022",Department of War,PDF,0,17,15.727802515029907,0.03096025155204386,-0.21826894581317902,-0.09512490034103394
doc_0053,"DOW-UAP-PR22, Unresolved UAP Report, Syria, July 2022",Department of War,PDF,0,12,11.173554062843323,0.005401918890590986,-0.15306372940540314,-0.10114603489637375
doc_0055,"DOW-UAP-PR26, Unresolved UAP Report, United Arab Emirates, October 2023",Department of War,PDF,0,12,11.301690518856049,0.026042086591953558,-0.21539728343486786,-0.1229299008846283
