Title,Agency,Release Date,Incident Date,Incident Location,PDF | Image Link,Type,Document Link,Source Filename,File Group,Output Path
FBI Photo A4,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A4.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A4.png,FBI_Photo_A4.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A4.png
FBI Photo A5,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A5.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A5.png,FBI_Photo_A5.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A5.png
FBI Photo A6,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A6.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A6.png,FBI_Photo_A6.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A6.png
FBI Photo A7,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A7.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A7.png,FBI_Photo_A7.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A7.png
FBI Photo A8,FBI,5/8/26,Late 2025,,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A8.png,IMG,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_images/FBI_Photo_A8.png,FBI_Photo_A8.png,IMG,ufo_release/FBI/IMG/FBI_Photo_A8.png
FBI Photo B1,FBI,5/8/26,Late 2025,Western United States,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B1.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B1.pdf,FBI_Photo_B1.pdf,PDF,ufo_release/FBI/PDF/FBI_Photo_B1.pdf
FBI Photo B10,FBI,5/8/26,Late 2025,Western United States,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B10.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B10.pdf,FBI_Photo_B10.pdf,PDF,ufo_release/FBI/PDF/FBI_Photo_B10.pdf
FBI Photo B11,FBI,5/8/26,Late 2025,Western United States,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B11.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B11.pdf,FBI_Photo_B11.pdf,PDF,ufo_release/FBI/PDF/FBI_Photo_B11.pdf
FBI Photo B12,FBI,5/8/26,Late 2025,Western United States,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B12.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B12.pdf,FBI_Photo_B12.pdf,PDF,ufo_release/FBI/PDF/FBI_Photo_B12.pdf
FBI Photo B13,FBI,5/8/26,Late 2025,Western United States,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B13.pdf,PDF,file:///home/prime/Documents/g3/ufo/uap_files/AARO_2026_release_01_pdfs/FBI_Photo_B13.pdf,FBI_Photo_B13.pdf,PDF,ufo_release/FBI/PDF/FBI_Photo_B13.pdf
