embedding_id,document_id,chunk_id,title,agency,file_group,output_path,source_filename,mime_type,metadata_text,chunk_kind,page_start,page_end,video_duration_sec,source_part_count,skip_reason
doc_0014__pdf_pages_0025_0030,doc_0014,pdf_pages_0025_0030,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,25.0,30.0,,6,
doc_0014__pdf_pages_0031_0036,doc_0014,pdf_pages_0031_0036,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,31.0,36.0,,6,
doc_0014__pdf_pages_0037_0042,doc_0014,pdf_pages_0037_0042,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,37.0,42.0,,6,
doc_0014__pdf_pages_0043_0048,doc_0014,pdf_pages_0043_0048,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,43.0,48.0,,6,
doc_0014__pdf_pages_0049_0054,doc_0014,pdf_pages_0049_0054,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,49.0,54.0,,6,
doc_0014__pdf_pages_0055_0060,doc_0014,pdf_pages_0055_0060,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,55.0,60.0,,6,
doc_0014__pdf_pages_0061_0066,doc_0014,pdf_pages_0061_0066,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,61.0,66.0,,6,
doc_0014__pdf_pages_0067_0072,doc_0014,pdf_pages_0067_0072,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,67.0,72.0,,6,
doc_0014__pdf_pages_0073_0078,doc_0014,pdf_pages_0073_0078,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,73.0,78.0,,6,
doc_0014__pdf_pages_0079_0084,doc_0014,pdf_pages_0079_0084,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,PDF,ufo_release/Department of War/PDF/342_HS1-416511228_319_1_Flying_Discs_1949.pdf,342_HS1-416511228_319_1_Flying_Discs_1949.pdf,image/jpeg,"Title: 342_HS1-416511228_319.1 Flying Discs 1949
Agency: Department of War
File group: PDF
Release date: 5/8/26
Incident date: 1/9/50
Incident location: missing
Filename: 342_HS1-416511228_319_1_Flying_Discs_1949.pdf",pdf_page_images,79.0,84.0,,6,
